batchNum ,subjectID ,trialNum,longerArm,response_longerArm,response_yesNo,response_AFC,AFCquestion,RT_longerArm,RT_yesNo,RT_AFC,RT_IBfamiliarity,RT_age,RT_ishihara,aboveBelow,trialType,IBstimulus_color,IBstimulus_location,trialTime
7,90,1,horizontal,horizontal,null,null,null,1897.54,null,null,null,null,null,below,IBstimulus_absent,null,null,5973.935
7,90,2,vertical,vertical,null,null,null,2207.235,null,null,null,null,null,above,IBstimulus_absent,null,null,10745.625
7,90,3,vertical,vertical,no,blue,reportColor,1353.105,4724.43,5298.215,4131.685,2413.345,3828.5,below,IBstimulus_absent,null,null,25460.36
7,91,0,horizontal,null,null,null,null,null,null,null,null,null,null,below,IBstimulus_absent,null,null,
7,91,1,vertical,null,null,null,null,null,null,null,null,null,null,below,IBstimulus_absent,null,null,
7,91,2,horizontal,null,null,null,null,null,null,null,null,null,null,below,IBstimulus_absent,null,null,
7,91,3,vertical,null,null,null,reportColor,null,null,null,null,null,null,above,IBstimulus_present,red,left,
7,92,0,vertical,vertical,null,null,null,2555.095,null,null,null,null,null,above,IBstimulus_absent,null,null,9657.24
7,92,1,vertical,vertical,null,null,null,1230.21,null,null,null,null,null,above,IBstimulus_absent,null,null,7386.485
7,92,2,horizontal,horizontal,null,null,null,1250.22,null,null,null,null,null,below,IBstimulus_absent,null,null,5122.835
7,92,3,vertical,vertical,no,blue,reportColor,1074.845,2505.355,6957.435,6583.595,4046.215,3618.855,below,IBstimulus_absent,null,null,29264.435
7,93,0,vertical,vertical,null,null,null,3454.69,null,null,null,null,null,below,IBstimulus_absent,null,null,7833.33
7,93,1,vertical,vertical,null,null,null,1326.34,null,null,null,null,null,above,IBstimulus_absent,null,null,6443.14
7,93,2,vertical,vertical,null,null,null,1246.465,null,null,null,null,null,below,IBstimulus_absent,null,null,4935.21
7,93,3,horizontal,horizontal,yes,blue,reportColor,3774.125,3496.79,1737.2,4974.43,3472.71,3312.31,above,IBstimulus_present,blue,left,23898.025
7,94,0,horizontal,vertical,null,null,null,11930.595,null,null,null,null,null,below,IBstimulus_absent,null,null,24466.205
7,94,1,vertical,vertical,null,null,null,3726.805,null,null,null,null,null,below,IBstimulus_absent,null,null,14517.14
7,94,2,vertical,vertical,null,null,null,3679.1,null,null,null,null,null,below,IBstimulus_absent,null,null,14164.285
7,94,3,vertical,horizontal,yes,red,reportColor,15712.265,6896.565,7007.23,14599.87,3677.585,11784.21,above,IBstimulus_present,red,right,70459.575
7,95,0,vertical,vertical,null,null,null,3195.06,null,null,null,null,null,below,IBstimulus_absent,null,null,57844.86
7,95,1,vertical,vertical,null,null,null,1452.325,null,null,null,null,null,above,IBstimulus_absent,null,null,8406.73
7,95,2,vertical,vertical,null,null,null,3346.655,null,null,null,null,null,above,IBstimulus_absent,null,null,10159.255
7,95,3,horizontal,horizontal,no,blue,reportColor,1279.94,3428.06,6205.045,3347.745,11927.63,20296.795,above,IBstimulus_present,red,right,49833.2
7,96,0,horizontal,horizontal,null,null,null,2396.94,null,null,null,null,null,below,IBstimulus_absent,null,null,15269.97
7,96,1,horizontal,horizontal,null,null,null,2023.205,null,null,null,null,null,above,IBstimulus_absent,null,null,7157.045
7,96,2,vertical,vertical,null,null,null,1673.135,null,null,null,null,null,above,IBstimulus_absent,null,null,10415.085
7,96,3,horizontal,horizontal,no,blue,reportColor,3288.6,7799.685,13727.3,6471.475,4111.565,4927.48,below,IBstimulus_present,blue,right,47474.125
