batchNum,subjectIDCum,subjectID,trialNum,longerArm,response_longerArm,response_yesNo,response_AFC,AFCquestion,RT_longerArm,RT_yesNo,RT_AFC,RT_IBfamiliarity,RT_age,RT_ishihara,aboveBelow,trialType,IBstimulus_color,IBstimulus_location,trialTime
5,1341,74,3,vertical,horizontal,yes,blue,reportColor,5356.36,10362.825,5214.785,13153.405,7023.55,9056.825,above,IBstimulus_present,red,left,54513.195
5,1342,75,0,vertical,vertical,null,null,null,4474.55,null,null,null,null,null,below,IBstimulus_absent,null,null,13334.9
5,1342,75,1,vertical,vertical,null,null,null,5137.905,null,null,null,null,null,below,IBstimulus_absent,null,null,15086.375
5,1342,75,2,horizontal,horizontal,null,null,null,2535.92,null,null,null,null,null,below,IBstimulus_absent,null,null,7128.415
5,1342,75,3,vertical,horizontal,no,blue,reportColor,5593.655,8019.68,13118.57,8454.835,10403.63,12541.205,below,IBstimulus_absent,null,null,62614.505
5,1343,76,0,horizontal,horizontal,null,null,null,2951.845,null,null,null,null,null,above,IBstimulus_absent,null,null,7619.375
5,1343,76,1,vertical,vertical,null,null,null,1222.67,null,null,null,null,null,below,IBstimulus_absent,null,null,4437.76
5,1343,76,2,horizontal,horizontal,null,null,null,1257.76,null,null,null,null,null,below,IBstimulus_absent,null,null,4199.18
5,1343,76,3,vertical,vertical,yes,blue,reportColor,2249.435,1975.6,3007.93,4095.5,2855.185,3599.9,above,IBstimulus_present,blue,right,20343.555
5,1344,77,0,horizontal,horizontal,null,null,null,2348,null,null,null,null,null,above,IBstimulus_absent,null,null,11630
5,1344,77,1,horizontal,horizontal,null,null,null,1880,null,null,null,null,null,above,IBstimulus_absent,null,null,5871
5,1344,77,2,horizontal,horizontal,null,null,null,3255,null,null,null,null,null,below,IBstimulus_absent,null,null,8351
5,1344,77,3,vertical,vertical,yes,red,reportColor,2754,2893,5009,5996,4330,9902,above,IBstimulus_present,red,left,34417
5,1345,78,0,vertical,vertical,null,null,null,9514,null,null,null,null,null,above,IBstimulus_absent,null,null,27092
